"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
1,"29182893","大鴻先進科技股份有限公司","臺中市后里區后科南路88號","孫大明",600000000,"1020403"
2,"29185152","台灣熱達科技股份有限公司","臺南市新市區南科二路12號之R104,R403室","彭岫麟",500000,"1020426"
3,"53668002","英屬安吉拉商日光貿易有限公司","高雄市前金區七賢二路417之1號5樓","長尾知美",0,"1020329"
4,"53668018","法商戰略技術顧問有限公司","臺北市松山區敦化北路307號2樓之1","柏安妮",0,"1020329"
5,"53668024","塞席爾商方實有限公司","臺中市西屯區文心路三段241號23樓之1","陳金榮",1000000,"1020329"
6,"53668039","賴比瑞亞商開隆輪船股份有限公司","臺北市中山區建國北路2段96號12樓","許志堅",500000,"1020329"
7,"53668050","日商思科朗有限公司","臺北市內湖區瑞光路358巷38弄36號2樓之3","李賢一",3000000,"1020401"
8,"53668087","金觀園藝有限公司","金門縣金寧鄉安美村西堡12號","巫建緯",250000,"1020401"
9,"53668100","美商亞洲福斯股份有限公司","新北市汐止區福德一路106巷5號1樓","何瑞柏",900000,"1020408"
10,"53668116","英屬維京群島商明輝國際有限公司","臺北市北投區一德里大度路3段270巷67號6樓之3","蔡鎮國",5000000,"1020409"
11,"53668164","日商酉島泵製作有限公司","臺北市中山區松江路87號15樓","丁建中",200000,"1020401"
12,"53668214","新加坡商百匯鷹閣醫藥技術諮詢股份有限公司","臺北市信義區基隆路1段200號4樓","後藤光博",0,"1020402"
13,"53668220","新加坡商肯特蘭思博股份有限公司","臺北市信義區信義路5段8號14樓","蘿拉昆恩",425000,"1020402"
14,"53668241","英屬維京群島商錦德電子科技有限公司","臺北市信義區基隆路1段155號5樓之7","張憶如",1000000,"1020403"
15,"53668256","香港商嘉協達亞洲有限公司","臺北市信義區基隆路1段155號12樓之6","古斯比",500000,"1020403"
16,"53668262","新加坡商杯子王私人有限公司","臺北市松山區復興北路179號5樓","ANUROOP  SREEKUMAR",7500000,"1020408"
17,"53668278","英屬維京群島商寶家股份有限公司","新北市中和區景安路139號1樓","吳怡靜",1000000,"1020408"
18,"53668299","金門灣文化有限公司","金門縣金湖鎮料羅里2鄰21之1號","呂靜怡",1000000,"1020408"
19,"53668312","日商夢展望股份有限公司","臺北市中山區吉林路24號7樓之1","田中啓晴",0,"1020408"
20,"53668328","英屬維京群島商日升網路科技有限公司","新北市板橋區富貴里三民路2段37號17樓之3","陳雪紅",500000,"1020408"
21,"53668354","大陸商郴州華永貿易有限公司","新北市鶯歌區朝陽街61巷35號","伍建湘",0,"1020409"
22,"53668360","權勝營造有限公司","金門縣金湖鎮新湖里塔后516號","莊乃權",3000000,"1020408"
23,"53668376","馬其頓商馬台有限公司","新北市永和區永和路2段57號7樓","宋志杰 ",0,"1020409"
24,"53668381","香港商瑾和記有限公司","臺中市西區臺中港路1段367號8樓之2","高宏銘",300000,"1020409"
25,"53668404","新加坡商泰可森有限公司","新竹縣竹北市台元街38號2樓之15","法藍斯",1000000,"1020410"
26,"53668410","香港商立捷環球股份有限公司","臺中市新社區中和街5段72-6號","胡智國",50000000,"1020412"
27,"53668489","英商科網通有限公司","臺北市信義區基隆路2段15號10樓","林其青",0,"1020410"
28,"53668495","大陸商蘇州明皜傳感科技有限公司","臺北市大安區忠孝東路3段192號2樓之1","吳念博",0,"1020410"
29,"53668501","英屬維京群島商翼比曦有限公司","臺北市大同區永樂里延平北路1段106號6樓","修致強",3000000,"1020410"
